"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
"45","5","네번째 구해입니다.조카들도 새로 바꿨네요","alic****","21.04.02.","0","의자","서재/사무용가구"
"46","5","주문한 다음 날 배송되었고
등받이와 팔걸이 조립시 볼트 10개만 조이면 완성 됩니다. 설명서와 육각랜치 포함되었고
다리 바퀴는 조립된 상태로 배송되네요.
가성비 좋은 제품으로 추천합니다.","pray****","21.03.17.","0","의자","서재/사무용가구"
"47","5","의자 가격들이 너무비싸 고민하다 샀는데요~
가격대비 완전 만족합니다
너무 편하고 의자에 앉았을때 안정감이 느껴지네요~
감사합니다","gusg****","21.03.11.","0","의자","서재/사무용가구"
"48","5","등받이가 편하고 좋음","mote****","21.04.07.","0","의자","서재/사무용가구"
"49","5","필란디아 가구는 튼튼한것같아요 색도 이쁘고 조립하기도 쉽고 편하기까지 하네요 만족합니다","giha****","21.03.16.","0","의자","서재/사무용가구"
"50","5","초등4학년 남자아이인데 키도크고 등치가있는편이라 의자고르는데 고민많이했어요 
가격에 비해서 너무 만족스럽습니다 
튼튼하고 허리도 잘받쳐주고 색상마져도 고급져요 가격대비 굿!!!","kda1****","21.03.15.","0","의자","서재/사무용가구"
"51","5","비슷한 의자들과 비교했을때 기격도 싸고 품질 좋습니다. 만족해요","ljy8****","21.03.28.","0","의자","서재/사무용가구"
"52","5","금액 대비 아주 만족스런 의자입니다","ish7****","21.04.04.","0","의자","서재/사무용가구"
"53","5","디자인이나 색깔이 튀지 않아서 맘에 들어요
가격대비 만족합니다  딸아이  사줬는데 좋아해요","skob****","21.04.04.","0","의자","서재/사무용가구"
"54","5","조립도 어렵지않고 앉았을때 허리가 너무 편해서 좋아요 여러곳을 알아보다가 이 제품이 디자인 가격 모든게 만족스러웠어요~~","kkkb****","21.03.13.","0","의자","서재/사무용가구"
"55","5","리뷰보고 믿고 샀어요.
컬러도 차분하고 제가 딱 생각하던 그대로네요.
잘쓸께요~","smar****","21.03.22.","0","의자","서재/사무용가구"
"56","5","설명이랑 다르게 움직이지가않네요","ing9****","21.04.03.","0","의자","서재/사무용가구"
"57","3","베이스가 화이트라고 하기엔 너무 누렇네요 아이보리&그레인데 화이트가 오래되서 변색된 느낌이에요..조립식이라 귀찮아서 너무 오래두고 있다가 열어버려서..반품하기엔 늦어버렸고 대충 쓰려구요","chae****","21.03.15.","0","의자","서재/사무용가구"
"58","5","남편책상 의자로 구입해서 지금 만족하고 잘 사용하고있어요.","ksun****","21.03.28.","0","의자","서재/사무용가구"
"59","5","게이밍 의자 쓰다가 허리가 너무너무 아파서 일반의자로 바꿨는데. 하루만에 몇달 괴롭히던 통증이 괜찮아졌어요. 정말 큰거 바라지 않고 허리만 잘 받쳐주니 통증이 사라지네요. 전 만족합니다","ingy****","21.03.11.","0","의자","서재/사무용가구"
"60","5","쿠션감도 좋고 등받이도 편해요!","hwaj****","21.03.31.","0","의자","서재/사무용가구"
"61","5","가격이 좋아서 구매했지만 한 달 사용해보니 품질은 더욱 좋다는 생각입니다. 강력 추천합니다.","jeho****","21.04.04.","0","의자","서재/사무용가구"
"62","5","아이가 크면서 핀란디아로 바뀌줬습니다. 적당한 쿠션감에 견고함까지... 아이도 만족하고 제가 앉아도 아주 좋아요^^","kppo****","21.04.06.","0","의자","서재/사무용가구"
"63","5","가성비 갑~좋은 제품입니다. 맘에들어요","ljy8****","21.03.28.","0","의자","서재/사무용가구"
"64","4","한달동안 사용해본 결과, 처음에 조립했을때보다 뭔가 헐거워진? 느낌은 있어요. 하지만 가격대비 괜찮은 의자인것 같아요. 디자인은 예쁩니다.","ohsc****","21.03.12.","0","의자","서재/사무용가구"
"65","5","책상이랑 잘 어울리고 좋아요","ing9****","21.04.03.","0","의자","서재/사무용가구"
"66","5","저렴한 가격과 이쁜 디자인..
층간 소음이 심한편인데 거의 무소음에 가까운 바퀴..
쉬운 조립..
팔방미인이였습니다..ㅎ
번창하세요^^","rorj****","21.03.05.","0","의자","서재/사무용가구"
"67","4","두번째 사진처럼 찍힌 자국이 남긴 했지만 전체적인 사용감은 만족스럽습니다. 혼자 만드는데도 큰 불편함이 없었지만 나사 조이는데 약간의 힘은 필요합니다. 약 20분 정도? 시간을 소요해 완성한 것 같네요.  제일 낮게 설정하면 150초반 여성도 충분히 땅에 발바닥 전체가 닿습니다. 쿠션감도 크게 불편감 없이 푹신해요 바퀴 굴러가는 소음도 없고 몸을 양옆으로 흔들어도 흔들림이 없습니다.","ian1****","21.02.18.","0","의자","서재/사무용가구"
"68","4","저는 방바닥에 앉아있음 엉덩이가 
뼈까지 아플정도인데 
그래도 이 의자는 오래 앉아있을만해요
푹신한편은 아니고
엉덩이에 안정감을 크게 주진 앉지만
이 가격이면 사기 좋아요!! 
의자 엄청 예민한 저로서는 이 의자 추천입니다
이정도 가격에 산게 아깝지 않아요~!","suda****","21.02.17.","0","의자","서재/사무용가구"
"69","5","여러분 저 이 상품 구입할까 말까를 몇개월 동안했었는데, 그 시간이 아까울 정도에요ㅠㅠ 진짜 허리도 편안하고 엉덩이도 푹신하고 진짜 좋아요!! 추천드립니당!","dusa****","21.03.09.","0","의자","서재/사무용가구"
"70","3","조립 간단하고 가성비 좋아요","pse0****","21.03.28.","0","의자","서재/사무용가구"
"71","5","밑에 다리라고 해야하나? 그 바퀴달린부분이 조금 떼탄 것처럼 되어있네옹 그치만 전체적으로 예뻐서 신경쓰지 않으려규오 공정상 어쩔 수 없는 부분인가 싶어서요 ㅎㅎㅎ 앉아보니 쿠션도 좋고 튼튼한 것 같은 느낌이 들어서 좋네요","yvnn****","21.03.04.","0","의자","서재/사무용가구"
"72","4","견고는 모르겠어요 사용해봐야 알것같은데 쿠션이 딱딱하다고해서 걱정했는데 안그러고요 사이즈도 적당한것같아요","9726****","21.04.06.","0","의자","서재/사무용가구"
"73","5","올해 초딩 들어간 아들  책상의자로 구매했어요.","toky****","21.03.30.","0","의자","서재/사무용가구"
"74","5","등받이 부분이 조금 눕혀진 느낌이 있지만
조립도 간편하고 견고한 편입니다
디자인도 깔끔하고 이뻐서 마음에 들어요","youn****","21.04.06.","0","의자","서재/사무용가구"
"75","5","심플하고 튼튼한 의자예요! 어느 인테리어나 다 잘 어울릴 것 같아요 가성비도 매우 좋습니다:)","yma6****","21.03.15.","0","의자","서재/사무용가구"
"76","5","배송 빨라요.
바퀴도 조용하고 넘 부드러워요.
저렴하게 잘 산것 같아요~
강추합니다.","leej****","21.03.18.","0","의자","서재/사무용가구"
"77","5","고딩 조카 선물했는데 맘에들어하네요~설명대로 그레이보단 카키빛이 돌아요 근데 개인적으로 나뿌진 않네요.","bnf7****","21.03.16.","0","의자","서재/사무용가구"
"78","5","잘 쓰고 있습니다.
가격 대비 정말 만족합니다~^^","gabb****","21.03.28.","0","의자","서재/사무용가구"
"79","5","의자가 튼튼하고 편안하네요.
두개 더 구매예정입니다^^","hyoj****","21.03.21.","0","의자","서재/사무용가구"
"80","5","생각보다의자가크고튼튼해요~색깔도화면그대로깔끔한화이트그레이아이책상이랑도찰떡이네요~아이도의자가편하다고좋아해요~","ish1****","21.03.16.","0","의자","서재/사무용가구"
"81","5","딸램 온라인수업이 길어져서 편한의자로 구매햇어요..너무 조아합니다","esle****","21.03.20.","0","의자","서재/사무용가구"
"82","5","디자인에서 너무 만족하고 편안함도 다른 의자들과는 차원이 달라요. 진짜 발 선택한 의자인거같아요.","luck****","21.02.28.","0","의자","서재/사무용가구"
"83","5","기능성 의자를 살까 하다가 샀는데, 편합니다 ㅎ 만족해요!","noon****","21.03.22.","0","의자","서재/사무용가구"
"84","4","책상색깔에 맞춰 그레이를 샀는데 진짜 옅은 카키색입니다! 이미 감안하고 산거라 좋아요! 앉았을때 살짝 불안한 느낌이 드는데 이건 사실 제가 진짜 똥손이라 그런 것 같습니다ㅠ 마음에 들어요!","sims****","21.03.07.","0","의자","서재/사무용가구"
"85","5","의자 색도 예쁘도 탄탄한게 앉아도 불안감도 없고 움직이는데 편합니다. 의자가 뒤로 젖혀지지는 않는데 오히려 그게 더 편한거 같습니다.","gura****","21.03.07.","0","의자","서재/사무용가구"
"86","5","초등학생 고학년용으로 샀는데, 가격대비 아주 만족합니다. 색상도 화면과 똑같구요, 그레이색이 어둡지 않아 방에도 잘 어울려요. 튼튼해서 중학교 가서도 오래 쓸 수 있을 것 같아요","jiay****","21.03.05.","0","의자","서재/사무용가구"
"87","4","쿠션감만 조금 더 좋았으면 좋았을꺼 같아요","agat****","21.03.27.","0","의자","서재/사무용가구"
"88","5","디자인도 이쁘고 실용적이며,
무엇보다도 오래 앉아 있어도 편안합니다.
사용해보니 너무 좋아서
하나 더 구매했습니다~
너무 만족합니다^^","moon****","21.03.11.","0","의자","서재/사무용가구"
"89","5","아이가 좋아합니다 ^^","kujj****","21.04.03.","0","의자","서재/사무용가구"
"90","5","초등학교 4학년 책상의자로 사용하려고 검색하다가 가성비좋대서 주문했어요 아직조금은 커보이지만 앞으로 사용하기 좋을거같아요 디자인도 깔끔하고 견고하네요","peti****","21.03.06.","0","의자","서재/사무용가구"
"91","5","매우매우편안합니다.","yjs8****","21.04.01.","0","의자","서재/사무용가구"
"92","4","디자인 깨끗하고 좋아요
핀란디아제품 3번째 구매입니다
감사합니다","medi****","21.04.06.","0","의자","서재/사무용가구"
"93","5","가격대비 최고에요~~^^ 
바퀴를 고정시키는 기능이 있으면 
더 좋을것 같다는 아쉬움이 있네요","chok****","21.03.14.","0","의자","서재/사무용가구"
"94","5","배송빠르고 좋았어요 조립쉬워요","myst****","21.03.22.","0","의자","서재/사무용가구"
"95","5","너무 만족해요 디자인도 넘 이쁘고 견고하고 튼튼해요","char****","21.03.03.","0","의자","서재/사무용가구"
"96","5","원하는상품 빠르게 받았습니다.감사합니다. 번창하세요.","cook****","21.03.20.","0","의자","서재/사무용가구"
"97","5","조립하고나서 앉는데 편했어요~^^ 디자인도 깔끔하고 색도 마음에 들었어요~^^","onam****","21.03.13.","0","의자","서재/사무용가구"
"98","4","맘에 들어요 견고하고 가격대비 최고입니다","epis****","21.04.06.","0","의자","서재/사무용가구"
"99","3","뒷면 볼트 조이기가 아주 불편하고 툭튀어나와 아주 보기 싫습니다.

어른이 쓰기는 작고 초등학생 딸한테 맞네요.

쿠션감은 최고입니다.","rain****","21.03.07.","0","의자","서재/사무용가구"
"100","5","친구집에서 앉아보고 괜찮길래 따라서구매했어요
좋아요","mjtl****","21.04.08.","0","의자","서재/사무용가구"
"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
