review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
92,5,정말 맘에 들엉노♡♡♡♡,jinm****,21.01.07.,1,서랍장,침실가구
,,,,,,,
93,5,"지정날보다 좀 더 빠른배송일 친절한 상담 꼼꼼해주시고 참 믿음가는 미라지가구입니다~ 깔끔한 화이트로 매장에서 직접보고 선택해서 백퍼 만족합니다^^ 
다음에도 여러지인들께도 적극추천하고픈 미라지가구
늘 번창하셔용~??????",kkhe****,20.12.27.,1,서랍장,침실가구
,,,,,,,
94,5,깨끗해요.예전에도 미라지가구썼었는데 디자인 깔끔.손잡이 비닐이 그냥떼긴힘드네요ㅜ안쪽에 나사 다풀러야 깔끔하게 뗄수있어요.견고하진않아보이는데 얘들이 없어서 험하게쓸일은 없어요~ 침대에서 티비올려놓고 보기 좋아요,jiny****,20.11.17.,1,서랍장,침실가구
,,,,,,,
95,5,쓸수록 맘에 들어요. 수납공간도 정말 넓고 훌륭합니다.,bong****,21.01.09.,1,서랍장,침실가구
,,,,,,,
96,5,친절하게 배송일 알려주시고 오셨네요..설치도 잘해주시고 제품도 마음에 드네요..잘 쓰겠습니다,aris****,20.12.18.,1,서랍장,침실가구
,,,,,,,
97,4,서랍장 디자인과 배송 기사 아저씨 모두 만족합니다,ansu****,20.12.23.,1,서랍장,침실가구
,,,,,,,
98,5,"완전 예뻐요~^^
색상도 좋고 서랍도 부드럽게 잘 열려요",0425****,20.12.19.,1,서랍장,침실가구
,,,,,,,
99,4,서랍장과  배송기사 아저씨 친절하시구 만족합니다,ansu****,20.12.23.,1,서랍장,침실가구
,,,,,,,
100,4,디자인은너무너무예뿐뎅 까져서오는게슬퍼요 말씀드리니까 그냥웃으시고ㅠㅠ 리뷰본게있어서 칠해줄수없는지여쭤보니까그제서야해주시궁... 그래도 너무예뻐서ㅎㅎ,ansu****,20.12.28.,1,서랍장,침실가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
